"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 10:00","2021","01","01","10:00","-7.4","","-8.9","","89","","0.0","","23","","3","","","","92.95","","","","-9","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 11:00","2021","01","01","11:00","-4.0","","-7.3","","78","","0.0","","14","","5","","","","92.81","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 12:00","2021","01","01","12:00","-1.4","","-6.7","","67","","0.0","","12","","4","","","","92.72","","","","-3","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 13:00","2021","01","01","13:00","-1.5","","-6.4","","69","","0.0","","12","","10","","","","92.61","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 14:00","2021","01","01","14:00","-1.5","","-6.3","","70","","0.0","","8","","9","","","","92.49","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 15:00","2021","01","01","15:00","-1.5","","-6.1","","71","","0.0","","7","","12","","","","92.41","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 16:00","2021","01","01","16:00","-1.7","","-5.9","","73","","0.0","","9","","8","","","","92.32","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 17:00","2021","01","01","17:00","-2.3","","-6.0","","76","","0.0","","9","","7","","","","92.29","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 18:00","2021","01","01","18:00","-3.0","","-6.6","","76","","0.0","","8","","8","","","","92.21","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 19:00","2021","01","01","19:00","-4.0","","-7.2","","79","","0.0","","11","","6","","","","92.13","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 20:00","2021","01","01","20:00","-5.0","","-8.2","","78","","0.0","","9","","7","","","","92.06","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 21:00","2021","01","01","21:00","-5.8","","-8.6","","80","","0.0","","9","","6","","","","91.91","","","","-9","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 22:00","2021","01","01","22:00","-5.0","","-8.4","","77","","0.0","","10","","9","","","","91.77","","","","-9","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 23:00","2021","01","01","23:00","-5.4","","-8.5","","79","","0.0","","9","","6","","","","91.65","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 00:00","2021","01","02","00:00","-5.4","","-8.5","","79","","0.0","","8","","6","","","","91.55","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 01:00","2021","01","02","01:00","-6.0","","-8.7","","81","","0.0","","4","","7","","","","91.44","","","","-9","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 02:00","2021","01","02","02:00","-6.0","","-8.6","","82","","0.0","","31","","6","","","","91.48","","","","-9","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 03:00","2021","01","02","03:00","-6.5","","-8.7","","84","","0.0","","23","","4","","","","91.46","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 04:00","2021","01","02","04:00","-6.6","","-9.0","","83","","0.0","","29","","8","","","","91.52","","","","-10","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 05:00","2021","01","02","05:00","-6.8","","-9.2","","83","","0.0","","23","","6","","","","91.51","","","","-10","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 06:00","2021","01","02","06:00","-6.8","","-9.1","","84","","0.0","","22","","10","","","","91.52","","","","-11","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 07:00","2021","01","02","07:00","-6.9","","-9.3","","83","","0.0","","22","","9","","","","91.53","","","","-11","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 08:00","2021","01","02","08:00","-7.2","","-9.5","","84","","0.0","","22","","7","","","","91.56","","","","-11","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 09:00","2021","01","02","09:00","-7.5","","-9.7","","84","","0.0","","23","","6","","","","91.60","","","","-11","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 10:00","2021","01","02","10:00","-4.1","","-8.1","","74","","0.0","","23","","3","","","","91.57","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 11:00","2021","01","02","11:00","-0.9","","-7.6","","60","","0.0","","24","","3","","","","91.56","","","","-2","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 12:00","2021","01","02","12:00","0.5","","-7.0","","57","","0.0","","25","","1","","","","91.50","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 13:00","2021","01","02","13:00","0.5","","-6.8","","58","","0.0","","18","","2","","","","91.43","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 14:00","2021","01","02","14:00","1.7","","-5.9","","57","","0.0","","25","","3","","","","91.37","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 15:00","2021","01","02","15:00","2.9","","-5.1","","56","","0.0","","22","","12","","","","91.34","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 16:00","2021","01","02","16:00","2.9","","-4.6","","58","","0.0","","20","","8","","","","91.30","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 17:00","2021","01","02","17:00","3.9","","-4.3","","55","","0.0","","21","","13","","","","91.28","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 18:00","2021","01","02","18:00","3.0","","-3.6","","62","","0.0","","18","","13","","","","91.16","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 19:00","2021","01","02","19:00","3.9","","-3.7","","58","","0.0","","19","","15","","","","91.08","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 20:00","2021","01","02","20:00","4.4","","-3.6","","56","","0.0","","20","","18","","","","91.04","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 21:00","2021","01","02","21:00","3.8","","-3.8","","58","","0.0","","22","","14","","","","90.99","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 22:00","2021","01","02","22:00","3.4","","-4.3","","57","","0.0","","20","","14","","","","90.93","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02 23:00","2021","01","02","23:00","2.4","","-4.6","","60","","0.0","","22","","14","","","","90.96","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 00:00","2021","01","03","00:00","1.4","","-5.1","","62","","0.0","","21","","10","","","","90.98","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 01:00","2021","01","03","01:00","0.6","","-5.1","","65","","0.0","","25","","7","","","","91.04","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 02:00","2021","01","03","02:00","-0.5","","-5.4","","70","","0.0","","24","","8","","","","91.07","","","","-3","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 03:00","2021","01","03","03:00","-0.3","","-5.5","","68","","0.0","","24","","6","","","","91.17","","","","-2","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 04:00","2021","01","03","04:00","4.9","","-3.3","","55","","0.0","","28","","16","","","","91.20","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 05:00","2021","01","03","05:00","4.3","","-4.1","","54","","0.0","","27","","10","","","","91.28","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 06:00","2021","01","03","06:00","3.0","","-3.9","","61","","0.0","","25","","9","","","","91.35","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 07:00","2021","01","03","07:00","1.5","","-3.7","","68","","0.0","","24","","8","","","","91.41","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 08:00","2021","01","03","08:00","0.6","","-2.8","","78","","0.0","","25","","9","","","","91.48","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 09:00","2021","01","03","09:00","1.1","","-2.4","","78","","0.0","","26","","12","","","","91.54","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 10:00","2021","01","03","10:00","1.6","","-3.4","","70","","0.0","","25","","12","","","","91.61","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 11:00","2021","01","03","11:00","2.1","","-3.6","","66","","0.0","","25","","9","","","","91.63","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 12:00","2021","01","03","12:00","3.4","","-4.3","","57","","0.0","","25","","16","","","","91.68","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 13:00","2021","01","03","13:00","3.0","","-5.5","","53","","0.0","","26","","17","","","","91.73","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 14:00","2021","01","03","14:00","3.7","","-7.0","","45","","0.0","","26","","20","","","","91.77","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 15:00","2021","01","03","15:00","3.8","","-7.5","","43","","0.0","","26","","20","","","","91.85","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 16:00","2021","01","03","16:00","3.4","","-7.8","","43","","0.0","","25","","12","","","","91.94","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 17:00","2021","01","03","17:00","1.8","","-8.5","","46","","0.0","","25","","9","","","","92.04","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 18:00","2021","01","03","18:00","1.4","","-9.3","","45","","0.0","","25","","9","","","","92.11","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 19:00","2021","01","03","19:00","0.5","","-10.0","","45","","0.0","","25","","9","","","","92.15","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 20:00","2021","01","03","20:00","0.7","","-10.4","","43","","0.0","","24","","9","","","","92.21","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 21:00","2021","01","03","21:00","-1.6","","-10.5","","51","","0.0","","20","","6","","","","92.28","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 22:00","2021","01","03","22:00","-2.2","","-10.7","","52","","0.0","","21","","7","","","","92.35","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03 23:00","2021","01","03","23:00","-2.5","","-11.1","","52","","0.0","","20","","8","","","","92.43","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 00:00","2021","01","04","00:00","-2.7","","-11.3","","52","","0.0","","21","","7","","","","92.51","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 01:00","2021","01","04","01:00","-3.7","","-11.4","","55","","0.0","","22","","7","","","","92.56","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 02:00","2021","01","04","02:00","-2.9","","-11.3","","52","","0.0","","24","","9","","","","92.61","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 03:00","2021","01","04","03:00","-3.7","","-11.7","","54","","0.0","","21","","9","","","","92.71","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 04:00","2021","01","04","04:00","-4.0","","-11.7","","55","","0.0","","22","","7","","","","92.75","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 05:00","2021","01","04","05:00","-4.7","","-11.6","","58","","0.0","","24","","6","","","","92.76","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 06:00","2021","01","04","06:00","-5.2","","-12.2","","58","","0.0","","23","","7","","","","92.79","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 07:00","2021","01","04","07:00","-6.7","","-12.8","","62","","0.0","","20","","5","","","","92.80","","","","-9","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 08:00","2021","01","04","08:00","-6.8","","-13.1","","61","","0.0","","21","","6","","","","92.78","","","","-10","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 09:00","2021","01","04","09:00","-7.1","","-12.5","","65","","0.0","","24","","5","","","","92.76","","","","-10","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 10:00","2021","01","04","10:00","-5.3","","-12.3","","58","","0.0","","25","","3","","","","92.70","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 11:00","2021","01","04","11:00","-4.1","","-11.8","","55","","0.0","","21","","6","","","","92.66","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 12:00","2021","01","04","12:00","-1.2","","-10.9","","48","","0.0","","19","","8","","","","92.55","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 13:00","2021","01","04","13:00","1.5","","-10.7","","40","","0.0","","17","","4","","","","92.44","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 14:00","2021","01","04","14:00","1.7","","-11.0","","38","","0.0","","13","","13","","","","92.32","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 15:00","2021","01","04","15:00","1.2","","-11.2","","39","","0.0","","13","","20","","","","92.23","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 16:00","2021","01","04","16:00","-0.1","","-10.6","","45","","0.0","","14","","14","","","","92.19","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 17:00","2021","01","04","17:00","-0.6","","-10.2","","48","","0.0","","11","","11","","","","92.09","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 18:00","2021","01","04","18:00","-1.2","","-10.0","","51","","0.0","","13","","13","","","","92.01","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 19:00","2021","01","04","19:00","-2.0","","-9.2","","58","","0.0","","14","","12","","","","91.91","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 20:00","2021","01","04","20:00","-2.0","","-8.2","","63","","0.0","","15","","15","","","","91.89","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 21:00","2021","01","04","21:00","-2.1","","-7.6","","66","","0.0","","15","","13","","","","91.86","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 22:00","2021","01","04","22:00","-2.6","","-7.0","","71","","0.0","","14","","7","","","","91.90","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04 23:00","2021","01","04","23:00","-2.5","","-7.2","","70","","0.0","","30","","9","","","","92.02","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 00:00","2021","01","05","00:00","-2.8","","-6.7","","75","","0.0","","29","","4","","","","92.04","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 01:00","2021","01","05","01:00","-3.1","","-7.3","","73","","0.0","","28","","9","","","","92.14","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 02:00","2021","01","05","02:00","-3.1","","-6.8","","76","","0.0","","25","","7","","","","92.26","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 03:00","2021","01","05","03:00","-2.9","","-6.8","","74","","0.0","","31","","14","","","","92.35","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 04:00","2021","01","05","04:00","-2.9","","-8.2","","67","","0.0","","29","","9","","","","92.47","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 05:00","2021","01","05","05:00","-2.7","","-8.2","","66","","0.0","","29","","11","","","","92.56","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 06:00","2021","01","05","06:00","-1.9","","-6.5","","71","","0.0","","29","","14","","","","92.73","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 07:00","2021","01","05","07:00","-1.8","","-5.7","","75","","0.0","","28","","13","","","","92.82","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 08:00","2021","01","05","08:00","-1.9","","-5.9","","74","","0.0","","29","","12","","","","92.95","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 09:00","2021","01","05","09:00","-2.4","","-6.4","","74","","0.0","","28","","12","","","","93.04","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 10:00","2021","01","05","10:00","-1.5","","-6.8","","67","","0.0","","27","","9","","","","93.11","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 11:00","2021","01","05","11:00","-0.6","","-6.8","","62","","0.0","","24","","7","","","","93.17","","","","-3","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 12:00","2021","01","05","12:00","1.4","","-6.9","","54","","0.0","","26","","11","","","","93.23","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 13:00","2021","01","05","13:00","2.3","","-6.9","","50","","0.0","","22","","4","","","","93.19","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 14:00","2021","01","05","14:00","1.1","","-6.7","","56","","0.0","","21","","8","","","","93.22","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 15:00","2021","01","05","15:00","0.8","","-7.4","","54","","0.0","","21","","9","","","","93.27","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 16:00","2021","01","05","16:00","-0.8","","-8.5","","56","","0.0","","18","","6","","","","93.28","","","","-3","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 17:00","2021","01","05","17:00","-1.7","","-8.4","","60","","0.0","","16","","9","","","","93.24","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 18:00","2021","01","05","18:00","-1.8","","-7.4","","66","","0.0","","14","","9","","","","93.16","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 19:00","2021","01","05","19:00","-1.4","","-8.2","","60","","0.0","","14","","15","","","","93.03","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 20:00","2021","01","05","20:00","0.5","","-9.4","","47","","0.0","","15","","23","","","","92.96","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 21:00","2021","01","05","21:00","-0.7","","-8.3","","57","","0.0","","17","","22","","","","92.84","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 22:00","2021","01","05","22:00","-1.2","","-7.9","","60","","0.0","","17","","21","","","","92.76","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05 23:00","2021","01","05","23:00","-1.3","","-7.7","","62","","0.0","","17","","18","","","","92.65","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 00:00","2021","01","06","00:00","-1.8","","-7.6","","64","","0.0","","18","","19","","","","92.62","","","","-7","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 01:00","2021","01","06","01:00","-1.7","","-7.9","","63","","0.0","","15","","14","","","","92.40","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 02:00","2021","01","06","02:00","-2.2","","-7.9","","65","","0.0","","17","","17","","","","92.48","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 03:00","2021","01","06","03:00","-2.0","","-7.7","","65","","0.0","","17","","13","","","","92.49","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 04:00","2021","01","06","04:00","-1.1","","-7.0","","64","","0.0","","19","","14","","","","92.42","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 05:00","2021","01","06","05:00","-0.9","","-6.6","","65","","0.0","","18","","14","","","","92.38","","","","-5","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 06:00","2021","01","06","06:00","-0.6","","-6.2","","65","","0.0","","17","","9","","","","92.40","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 07:00","2021","01","06","07:00","-2.3","","-6.6","","73","","0.0","","21","","4","","","","92.42","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 08:00","2021","01","06","08:00","-1.3","","-6.2","","69","","0.0","","32","","3","","","","92.46","","","","-2","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 09:00","2021","01","06","09:00","-2.9","","-6.9","","74","","0.0","","22","","4","","","","92.53","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 10:00","2021","01","06","10:00","-2.0","","-7.1","","68","","0.0","","27","","5","","","","92.65","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 11:00","2021","01","06","11:00","2.0","","-6.0","","55","","0.0","","26","","7","","","","92.69","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 12:00","2021","01","06","12:00","2.8","","-5.9","","53","","0.0","","24","","5","","","","92.74","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 13:00","2021","01","06","13:00","6.4","","-6.2","","40","","0.0","","25","","14","","","","92.85","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 14:00","2021","01","06","14:00","6.1","","-6.0","","41","","0.0","","25","","10","","","","92.93","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 15:00","2021","01","06","15:00","5.5","","-5.9","","44","","0.0","","26","","8","","","","93.02","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 16:00","2021","01","06","16:00","3.7","","-5.8","","50","","0.0","","26","","4","","","","93.12","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 17:00","2021","01","06","17:00","3.3","","-6.1","","50","","0.0","","22","","7","","","","93.18","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 18:00","2021","01","06","18:00","2.8","","-6.0","","52","","0.0","","22","","7","","","","93.27","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 19:00","2021","01","06","19:00","2.2","","-6.5","","52","","0.0","","23","","6","","","","93.32","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 20:00","2021","01","06","20:00","-0.3","","-6.9","","61","","0.0","","24","","4","","","","93.42","","","","-2","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 21:00","2021","01","06","21:00","-0.8","","-7.6","","60","","0.0","","25","","6","","","","93.48","","","","-3","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 22:00","2021","01","06","22:00","-2.1","","-8.0","","64","","0.0","","24","","6","","","","93.49","","","","-4","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06 23:00","2021","01","06","23:00","-2.5","","-8.1","","65","","0.0","","23","","10","","","","93.57","","","","-6","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-07 00:00","2021","01","07","00:00","-2.9","","-8.2","","67","","0.0","","25","","4","","","","93.62","","","","-4","","NA"
